x,y,label
1.63889,-0.31607,1
1.87307,0.13010,1
-0.08090,1.00297,0
-0.22081,0.90529,0
0.23890,-0.15832,1
-0.90079,0.35086,0
-0.20856,0.98877,0
-1.03309,0.26442,0
0.99135,-0.01037,0
1.97720,0.50233,1
1.62020,-0.27191,1
1.45312,-0.36459,1
-0.89972,0.31449,0
0.15357,0.06693,1
-0.79268,0.39857,0
-0.27669,0.95746,0
1.98210,0.57300,1
-0.99950,0.09181,0
1.85957,-0.08719,1
-0.40115,0.88146,0
1.83321,0.19298,1
0.09956,0.38506,1
-0.73512,0.61565,0
-0.76469,0.49317,0
0.90193,0.53918,0
0.38397,0.92646,0
0.12656,0.97344,0
0.93226,0.39734,0
0.61114,0.83001,0
1.32282,-0.47244,1
1.03451,0.17387,0
1.01082,0.14867,0
0.72026,-0.37029,1
0.01029,0.40238,1
-0.77922,0.44958,0
0.87862,-0.51334,1
0.79999,0.68551,0
0.39036,-0.26815,1
1.13241,-0.54477,1
1.00619,0.14373,0
0.16096,0.98830,0
-0.59539,0.89275,0
1.85641,0.03127,1
0.64501,-0.42788,1
1.04322,-0.52805,1
0.38379,-0.41179,1
0.83707,-0.37233,1
-0.32893,0.97527,0
0.67949,0.73022,0
-0.70819,0.45419,0
0.40329,-0.21718,1
0.42340,1.02170,0
-0.96132,0.33744,0
1.16474,-0.45587,1
0.45673,-0.37984,1
1.87613,0.22699,1
0.81216,0.62248,0
1.31465,-0.48093,1
0.07177,0.94081,0
0.05170,0.01113,1
-1.03782,-0.05543,0
-0.03889,0.51479,1
0.12199,0.99945,0
0.84044,0.55477,0
0.77266,-0.63225,1
0.58981,0.73731,0
0.89146,0.32684,0
0.02495,0.17791,1
-0.34660,0.94300,0
0.75608,-0.53578,1
0.99242,0.13523,0
0.61639,-0.53420,1
1.59263,-0.30100,1
1.09694,-0.50331,1
-0.19728,1.11763,0
1.28760,-0.42160,1
1.90015,-0.01683,1
0.89408,-0.39498,1
1.56199,-0.46633,1
0.81107,0.21350,0
-0.84176,0.46748,0
0.59637,0.77318,0
-0.77822,0.65583,0
0.15352,-0.16341,1
-0.61902,0.75159,0
0.36659,-0.21138,1
1.03492,0.10121,0
1.50715,-0.38003,1
0.56992,0.78062,0
1.94128,0.25273,1
0.86137,0.34752,0
0.02822,1.02033,0
-0.91127,0.65882,0
0.47174,-0.31182,1
-0.59363,0.76650,0
1.65706,-0.16985,1
-1.07136,0.04949,0
2.06105,0.40319,1
0.11022,0.08209,1
0.11074,1.05714,0
1.51045,-0.36253,1
0.79724,0.43817,0
-0.53828,0.85202,0
0.55030,0.90672,0
1.01882,0.03130,0
1.97713,0.30406,1
1.84446,-0.15280,1
1.73707,-0.20777,1
0.90279,-0.48625,1
-0.75167,0.79262,0
-0.06680,0.09161,1
1.05614,-0.50520,1
-0.96715,0.51918,0
-1.06856,0.19633,0
1.61771,-0.36822,1
0.72522,0.71993,0
2.08874,0.37693,1
0.88000,0.50166,0
1.00619,0.23534,0
1.87535,0.18568,1
0.92736,0.49214,0
0.04482,0.33018,1
0.10792,0.99534,0
1.47001,-0.43851,1
0.13476,-0.07939,1
0.24968,-0.11063,1
-0.01547,0.36756,1
0.92284,-0.49247,1
0.04673,0.41426,1
0.51079,0.87470,0
0.75405,0.64047,0
-0.02696,0.31327,1
0.46623,0.85500,0
0.47747,-0.29340,1
1.70134,-0.31345,1
2.04002,0.39987,1
0.10758,0.06400,1
-0.51148,0.86836,0
0.54453,-0.29170,1
0.24391,-0.16692,1
1.41597,-0.40594,1
0.78398,0.65017,0
-0.16286,1.01229,0
1.22812,-0.43891,1
0.26427,1.05523,0
0.46409,0.92348,0
0.09320,0.00786,1
1.29227,-0.44850,1
0.86935,0.51291,0
-0.99714,0.20553,0
0.13172,0.96009,0
-0.70053,0.72459,0
1.00682,0.20462,0
0.36753,-0.40559,1
-0.12714,0.50586,1
-0.86724,0.64936,0
0.94539,0.29288,0
0.83262,0.67715,0
0.37417,0.90523,0
2.02034,0.35989,1
-0.07228,1.04094,0
-0.12164,1.00853,0
-0.96235,0.24389,0
-0.26995,0.99227,0
-0.70037,0.70695,0
2.08590,0.37024,1
0.89492,0.41447,0
1.88580,0.15813,1
-0.60487,0.76282,0
0.01093,0.43336,1
0.96622,0.20221,0
0.54512,-0.32374,1
-0.68617,0.61894,0
1.13104,-0.46436,1
1.87941,0.55552,1
-0.47168,0.92295,0
0.51556,0.79558,0
1.95845,0.34998,1
2.02790,0.15308,1
-0.00265,0.97027,0
-0.72405,0.53798,0
1.73332,-0.22634,1
-0.39768,0.91893,0
0.01666,0.23266,1
1.94090,0.40246,1
2.11738,0.32077,1
0.03717,0.10833,1
0.80049,0.50157,0
0.37945,0.98955,0
0.69327,-0.50234,1
1.48125,-0.38223,1
0.09469,-0.11120,1
0.98499,0.07006,0
0.95155,-0.52810,1
0.08606,0.01631,1
-0.37271,0.80233,0
0.12194,-0.01760,1
-0.25311,0.92896,0
1.74719,-0.24190,1
0.96175,-0.54572,1
0.39757,-0.23472,1
-0.35826,0.99205,0
1.84002,-0.04588,1
0.76375,0.57272,0
0.10530,1.01739,0
0.20984,0.94411,0
0.07341,1.02438,0
0.74562,-0.44800,1
1.85842,0.27259,1
0.57575,-0.39188,1
-0.43224,1.01170,0
0.40745,0.96950,0
-0.03882,0.03459,1
-1.01441,0.18322,0
-0.97106,0.34412,0
-0.65339,0.65591,0
0.94999,0.51309,0
-0.86066,0.46981,0
0.97380,0.38388,0
1.02261,0.15243,0
-0.79369,0.78399,0
0.29866,0.94314,0
0.09096,0.17203,1
1.95875,0.12051,1
1.31374,-0.41377,1
0.79989,0.71680,0
0.12385,0.10753,1
0.76413,0.60337,0
-0.33196,0.91567,0
-0.68573,0.65589,0
1.41717,-0.48819,1
-0.38743,0.98669,0
0.88604,0.66414,0
1.25186,-0.43924,1
1.94881,0.00036,1
0.70011,-0.50324,1
0.25387,-0.19231,1
1.39320,-0.46034,1
1.94643,0.03110,1
-0.91290,0.04582,0
0.65199,-0.42943,1
-0.86357,0.57894,0
0.68726,0.53806,0
1.49828,-0.45283,1
0.06334,0.48934,1
1.25606,-0.46322,1
-0.86944,0.38900,0
-0.51084,0.80084,0
0.18808,-0.08588,1
0.88253,0.53055,0
0.32329,0.99008,0
1.42016,-0.30511,1
0.02376,0.33950,1
0.31212,0.89003,0
0.94960,0.04940,0
1.88232,0.28530,1
0.53650,-0.41589,1
1.78716,-0.04941,1
0.15594,0.05591,1
0.66204,0.65322,0
-0.93955,0.46874,0
1.00794,-0.57973,1
0.37971,-0.39654,1
0.61350,0.76883,0
0.99975,0.20721,0
0.37403,-0.19216,1
0.37880,0.96707,0
1.51542,-0.40490,1
1.59478,-0.27193,1
-0.95016,0.03169,0
-0.93004,0.01553,0
1.86576,-0.13190,1
0.30181,-0.23382,1
-0.73738,0.56666,0
0.97860,0.36136,0
-0.06022,0.38610,1
-0.37212,0.90632,0
-1.02267,0.11911,0
0.91489,-0.52337,1
-0.32079,1.02890,0
1.76356,-0.11457,1
0.05539,1.13443,0
-0.81256,0.41138,0
0.14351,0.09397,1
-0.95184,0.13953,0
0.79191,-0.32414,1
0.79255,-0.55249,1
-0.88490,0.40061,0
-0.90723,0.34411,0
0.21627,-0.09821,1
0.59207,-0.50462,1
0.10334,-0.00025,1
0.29551,0.95944,0
0.28560,-0.21964,1
1.49840,-0.38654,1
0.97007,-0.39421,1
1.09012,-0.45091,1
-0.71841,0.70088,0
1.85952,0.15316,1
-0.68897,0.78553,0
