label,caption,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199,p200,p201,p202,p203,p204,p205,p206,p207,p208,p209,p210,p211,p212,p213,p214,p215,p216,p217,p218,p219,p220,p221,p222,p223,p224,p225,p226,p227,p228,p229,p230,p231,p232,p233,p234,p235,p236,p237,p238,p239,p240,p241,p242,p243,p244,p245,p246,p247,p248,p249,p250,p251,p252,p253,p254,p255
car,"A side mirror shows a dog sticking its head out of a car window.",0.75,0.69,0.73,0.74,0.76,0.78,0.77,0.72,0.63,0.51,0.39,0.27,0.18,0.11,0.16,0.27,0.78,0.72,0.82,0.78,0.64,0.47,0.29,0.14,0.05,0.02,0.04,0.09,0.15,0.21,0.14,0.06,0.86,0.82,0.56,0.22,0.06,0.04,0.13,0.27,0.42,0.53,0.61,0.66,0.68,0.69,0.59,0.14,0.83,0.35,0.03,0.03,0.18,0.45,0.58,0.64,0.64,0.63,0.61,0.6,0.59,0.59,0.57,0.18,0.25,0.02,0.07,0.14,0.16,0.15,0.13,0.12,0.12,0.12,0.13,0.14,0.15,0.17,0.22,0.13,0.25,0.15,0.25,0.19,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.22,0.13,0.25,0.24,0.22,0.16,0.19,0.18,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.14,0.09,0.22,0.33,0.16,0.14,0.16,0.13,0.1,0.16,0.11,0.16,0.18,0.17,0.25,0.17,0.11,0.05,0.13,0.23,0.16,0.16,0.17,0.14,0.15,0.16,0.16,0.18,0.25,0.27,0.2,0.14,0.07,0.05,0.08,0.09,0.1,0.14,0.13,0.11,0.11,0.11,0.11,0.17,0.31,0.21,0.09,0.08,0.07,0.05,0.1,0.12,0.14,0.18,0.47,0.46,0.42,0.39,0.35,0.33,0.33,0.26,0.31,0.13,0.08,0.04,0.06,0.25,0.22,0.26,0.57,0.54,0.53,0.53,0.55,0.45,0.31,0.25,0.29,0.25,0.12,0.44,0.15,0.13,0.13,0.24,0.46,0.53,0.55,0.52,0.53,0.36,0.39,0.27,0.25,0.13,0.12,0.65,0.62,0.47,0.31,0.16,0.09,0.13,0.21,0.3,0.4,0.32,0.36,0.31,0.17,0.15,0.07,0.6,0.6,0.64,0.65,0.6,0.5,0.35,0.22,0.12,0.07,0.09,0.13,0.21,0.15,0.08,0.04,0.6,0.58,0.59,0.57,0.6,0.63,0.62,0.62,0.56,0.45,0.33,0.24,0.36,0.37,0.34,0.24
car,"A car that has slid into a light pole on a snow covered road.",0.73,0.73,0.75,0.76,0.77,0.78,0.77,0.77,0.78,0.78,0.75,0.73,0.78,0.8,0.62,0.66,0.73,0.73,0.75,0.74,0.76,0.79,0.79,0.78,0.78,0.77,0.75,0.75,0.8,0.61,0.34,0.43,0.69,0.73,0.73,0.75,0.69,0.56,0.57,0.74,0.78,0.76,0.75,0.75,0.81,0.45,0.22,0.29,0.69,0.75,0.75,0.65,0.5,0.42,0.44,0.6,0.71,0.77,0.73,0.73,0.76,0.6,0.25,0.27,0.72,0.79,0.76,0.55,0.4,0.37,0.4,0.44,0.49,0.62,0.73,0.76,0.76,0.44,0.26,0.25,0.57,0.58,0.56,0.44,0.31,0.29,0.26,0.24,0.27,0.23,0.41,0.69,0.53,0.25,0.24,0.23,0.36,0.48,0.39,0.26,0.25,0.23,0.26,0.21,0.2,0.2,0.25,0.44,0.35,0.47,0.31,0.25,0.54,0.45,0.43,0.44,0.33,0.27,0.36,0.34,0.39,0.29,0.29,0.27,0.24,0.28,0.18,0.14,0.25,0.28,0.45,0.65,0.57,0.58,0.67,0.66,0.55,0.42,0.44,0.47,0.53,0.43,0.38,0.38,0.52,0.49,0.49,0.63,0.86,0.82,0.81,0.72,0.35,0.42,0.44,0.41,0.44,0.53,0.66,0.84,0.23,0.28,0.28,0.46,0.84,0.76,0.74,0.73,0.56,0.42,0.43,0.54,0.56,0.6,0.67,0.73,0.23,0.22,0.38,0.6,0.75,0.72,0.7,0.7,0.76,0.8,0.79,0.8,0.78,0.76,0.73,0.7,0.4,0.6,0.72,0.72,0.69,0.68,0.69,0.71,0.73,0.72,0.72,0.72,0.71,0.71,0.71,0.71,0.75,0.76,0.71,0.69,0.67,0.69,0.71,0.71,0.72,0.71,0.71,0.71,0.71,0.7,0.7,0.7,0.72,0.71,0.69,0.69,0.71,0.72,0.69,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.69,0.7,0.71,0.72,0.73,0.71,0.7,0.73,0.71,0.72,0.71,0.71,0.71,0.71,0.71,0.7
car,"An orange; black and white cat on top of a car.",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.0,0.0,0.02,0.01,0.0,0.1,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.0,0.03,0.1,0.07,0.0,0.0,0.2,0.1,0.01,0.01,0.01,0.01,0.02,0.0,0.04,0.15,0.44,0.26,0.31,0.43,0.27,0.15,0.36,0.2,0.01,0.01,0.01,0.02,0.0,0.23,0.56,0.47,0.74,0.52,0.27,0.49,0.64,0.31,0.31,0.07,0.01,0.01,0.01,0.0,0.09,0.67,0.86,0.87,0.75,0.52,0.42,0.55,0.49,0.37,0.36,0.32,0.01,0.01,0.01,0.01,0.04,0.32,0.69,0.74,0.43,0.52,0.61,0.36,0.25,0.26,0.24,0.24,0.01,0.01,0.01,0.02,0.0,0.07,0.42,0.33,0.45,0.6,0.55,0.32,0.36,0.36,0.34,0.32,0.01,0.01,0.02,0.0,0.07,0.34,0.35,0.48,0.58,0.51,0.35,0.22,0.24,0.39,0.42,0.44,0.01,0.01,0.01,0.04,0.27,0.38,0.45,0.61,0.52,0.37,0.2,0.02,0.05,0.11,0.1,0.17,0.02,0.01,0.08,0.11,0.15,0.59,0.47,0.35,0.39,0.33,0.11,0.08,0.19,0.2,0.15,0.18
car,"A parking meter in front of a fenced in car park.",0.29,0.2,0.22,0.2,0.17,0.16,0.18,0.2,0.13,0.13,0.21,0.2,0.16,0.16,0.23,0.11,0.25,0.23,0.2,0.27,0.2,0.22,0.19,0.2,0.2,0.27,0.21,0.19,0.18,0.18,0.17,0.13,0.29,0.3,0.26,0.41,0.36,0.24,0.29,0.25,0.32,0.57,0.4,0.24,0.43,0.3,0.22,0.18,0.28,0.31,0.22,0.37,0.43,0.39,0.38,0.43,0.46,0.8,0.72,0.35,0.58,0.56,0.38,0.17,0.24,0.32,0.24,0.39,0.42,0.44,0.41,0.42,0.49,0.81,0.75,0.36,0.54,0.56,0.46,0.08,0.25,0.29,0.25,0.4,0.33,0.43,0.44,0.35,0.45,0.61,0.56,0.35,0.55,0.51,0.54,0.18,0.28,0.3,0.21,0.38,0.44,0.39,0.34,0.36,0.45,0.43,0.32,0.28,0.53,0.51,0.5,0.2,0.15,0.21,0.24,0.33,0.41,0.35,0.33,0.43,0.49,0.42,0.38,0.31,0.48,0.45,0.46,0.18,0.36,0.34,0.21,0.33,0.11,0.2,0.3,0.38,0.37,0.35,0.34,0.31,0.41,0.31,0.41,0.17,0.15,0.16,0.21,0.23,0.14,0.18,0.2,0.23,0.26,0.36,0.25,0.25,0.33,0.43,0.49,0.18,0.13,0.11,0.15,0.17,0.11,0.1,0.12,0.14,0.22,0.51,0.38,0.09,0.32,0.46,0.44,0.19,0.18,0.2,0.22,0.22,0.11,0.13,0.18,0.17,0.23,0.39,0.44,0.26,0.3,0.22,0.25,0.14,0.2,0.3,0.34,0.4,0.15,0.15,0.21,0.19,0.29,0.42,0.47,0.38,0.58,0.56,0.56,0.2,0.17,0.17,0.16,0.21,0.13,0.15,0.1,0.13,0.21,0.29,0.26,0.23,0.25,0.23,0.23,0.12,0.17,0.12,0.11,0.11,0.11,0.12,0.14,0.22,0.21,0.21,0.22,0.16,0.13,0.12,0.13,0.12,0.2,0.27,0.27,0.25,0.28,0.3,0.32,0.34,0.31,0.28,0.29,0.29,0.29,0.28,0.25,0.23
car,"A motorcycle sitting in front of a classic Ford Mustang Car.",1.0,1.0,1.0,1.0,0.99,0.99,0.78,0.39,0.36,0.4,0.33,0.29,0.28,0.3,0.25,0.2,0.95,0.82,0.94,0.97,1.0,1.0,0.7,0.34,0.26,0.29,0.25,0.2,0.18,0.2,0.14,0.12,0.87,0.71,0.72,0.62,0.63,0.84,0.72,0.29,0.24,0.3,0.41,0.44,0.18,0.18,0.18,0.2,0.7,0.73,0.72,0.74,0.64,0.56,0.52,0.33,0.31,0.27,0.42,0.51,0.47,0.42,0.24,0.24,0.72,0.85,0.87,0.82,0.8,0.68,0.65,0.63,0.27,0.08,0.31,0.47,0.58,0.63,0.44,0.44,0.54,0.58,0.33,0.27,0.3,0.24,0.47,0.55,0.09,0.05,0.24,0.51,0.23,0.75,0.8,0.75,0.42,0.42,0.31,0.34,0.24,0.28,0.56,0.48,0.19,0.16,0.23,0.43,0.25,0.33,0.71,0.7,0.41,0.13,0.04,0.08,0.12,0.2,0.21,0.56,0.36,0.25,0.02,0.48,0.43,0.22,0.67,0.75,0.54,0.43,0.38,0.45,0.5,0.13,0.29,0.43,0.16,0.19,0.11,0.61,0.54,0.24,0.36,0.42,0.66,0.75,0.73,0.71,0.58,0.32,0.34,0.29,0.47,0.34,0.24,0.34,0.62,0.33,0.48,0.3,0.67,0.66,0.64,0.7,0.64,0.37,0.36,0.58,0.54,0.16,0.29,0.47,0.62,0.46,0.76,0.72,0.69,0.64,0.66,0.66,0.61,0.36,0.31,0.51,0.29,0.15,0.47,0.47,0.42,0.56,0.59,0.66,0.72,0.62,0.67,0.63,0.62,0.54,0.4,0.42,0.26,0.31,0.53,0.55,0.51,0.72,0.67,0.62,0.76,0.59,0.65,0.66,0.63,0.58,0.51,0.36,0.27,0.4,0.53,0.51,0.72,0.66,0.61,0.56,0.79,0.59,0.58,0.6,0.64,0.58,0.61,0.52,0.42,0.37,0.56,0.51,0.53,0.53,0.47,0.53,0.76,0.66,0.57,0.6,0.63,0.58,0.56,0.58,0.56,0.38,0.5,0.53,0.49,0.49,0.49,0.51
car,"A grey and white dog sitting in the passenger side of a car.",0.4,0.32,0.35,0.33,0.22,0.33,0.38,0.38,0.42,0.35,0.15,0.1,0.14,0.28,0.08,0.06,0.51,0.49,0.51,0.51,0.34,0.35,0.21,0.21,0.42,0.28,0.07,0.13,0.11,0.14,0.08,0.06,0.6,0.6,0.6,0.61,0.67,0.48,0.3,0.56,0.52,0.2,0.11,0.14,0.07,0.04,0.09,0.07,0.64,0.64,0.64,0.63,0.62,0.54,0.51,0.44,0.49,0.45,0.24,0.16,0.11,0.09,0.13,0.13,0.56,0.51,0.46,0.39,0.31,0.25,0.22,0.17,0.3,0.6,0.42,0.23,0.19,0.16,0.12,0.12,0.29,0.26,0.24,0.22,0.22,0.24,0.24,0.21,0.4,0.79,0.55,0.32,0.22,0.2,0.13,0.14,0.24,0.25,0.27,0.28,0.29,0.28,0.27,0.24,0.39,0.82,0.64,0.43,0.3,0.19,0.15,0.2,0.22,0.16,0.24,0.32,0.3,0.29,0.29,0.26,0.31,0.74,0.62,0.44,0.37,0.25,0.31,0.32,0.25,0.22,0.24,0.25,0.28,0.27,0.25,0.25,0.29,0.69,0.55,0.42,0.44,0.48,0.44,0.36,0.16,0.18,0.18,0.17,0.19,0.22,0.23,0.21,0.25,0.68,0.52,0.47,0.56,0.55,0.41,0.28,0.15,0.15,0.13,0.17,0.16,0.16,0.18,0.1,0.5,0.79,0.51,0.52,0.6,0.56,0.42,0.28,0.13,0.11,0.15,0.17,0.14,0.13,0.09,0.33,0.89,0.65,0.44,0.53,0.66,0.62,0.48,0.33,0.13,0.12,0.13,0.14,0.26,0.5,0.6,0.82,0.79,0.46,0.46,0.64,0.68,0.59,0.47,0.36,0.12,0.15,0.16,0.47,0.55,0.53,0.75,0.82,0.54,0.74,0.63,0.51,0.58,0.53,0.39,0.3,0.08,0.08,0.42,0.63,0.58,0.54,0.71,0.49,0.51,0.78,0.38,0.24,0.31,0.43,0.41,0.31,0.07,0.24,0.61,0.55,0.67,0.85,0.6,0.5,0.64,0.63,0.42,0.32,0.23,0.26,0.35,0.3
car,"Black cat sitting on the engine of a black car.",0.45,0.44,0.36,0.37,0.38,0.36,0.33,0.25,0.39,0.39,0.19,0.41,0.52,0.2,0.02,0.03,0.85,0.71,0.67,0.65,0.53,0.36,0.23,0.27,0.47,0.41,0.49,0.6,0.26,0.09,0.04,0.03,0.67,0.6,0.62,0.65,0.65,0.48,0.38,0.53,0.55,0.52,0.49,0.4,0.08,0.06,0.05,0.02,0.51,0.58,0.58,0.54,0.51,0.51,0.56,0.56,0.54,0.52,0.5,0.48,0.34,0.11,0.07,0.04,0.57,0.53,0.57,0.53,0.55,0.39,0.28,0.49,0.48,0.53,0.54,0.51,0.53,0.4,0.1,0.04,0.45,0.53,0.48,0.54,0.52,0.51,0.15,0.13,0.15,0.25,0.53,0.52,0.51,0.54,0.4,0.11,0.47,0.53,0.41,0.51,0.64,0.65,0.37,0.19,0.21,0.15,0.36,0.55,0.51,0.5,0.51,0.44,0.53,0.53,0.45,0.48,0.58,0.49,0.3,0.39,0.38,0.32,0.41,0.41,0.53,0.54,0.52,0.49,0.51,0.45,0.45,0.49,0.46,0.23,0.24,0.38,0.27,0.33,0.42,0.37,0.5,0.54,0.51,0.49,0.76,0.5,0.42,0.57,0.43,0.16,0.44,0.47,0.43,0.41,0.38,0.34,0.38,0.36,0.35,0.34,0.6,0.42,0.31,0.39,0.2,0.3,0.53,0.62,0.61,0.6,0.56,0.56,0.51,0.42,0.4,0.38,0.42,0.71,0.73,0.25,0.16,0.4,0.41,0.45,0.45,0.54,0.49,0.5,0.47,0.42,0.4,0.42,0.77,0.79,0.56,0.27,0.24,0.25,0.35,0.4,0.52,0.55,0.54,0.49,0.41,0.45,0.38,0.36,0.71,0.69,0.36,0.11,0.24,0.2,0.26,0.47,0.5,0.46,0.45,0.45,0.46,0.53,0.51,0.45,0.72,0.55,0.17,0.07,0.29,0.2,0.34,0.48,0.44,0.44,0.4,0.31,0.38,0.38,0.36,0.32,0.55,0.29,0.04,0.08,0.09,0.07,0.28,0.27,0.29,0.32,0.31,0.32,0.44,0.38,0.36,0.35
car,"Cars waiting at a red traffic light with a dome shaped building in the distance.",0.77,0.72,0.65,0.76,0.74,0.67,0.68,0.62,0.68,0.76,0.72,0.82,0.91,0.81,0.73,0.73,0.75,0.64,0.63,0.66,0.74,0.66,0.56,0.56,0.56,0.53,0.52,0.64,0.7,0.73,0.68,0.66,0.72,0.64,0.56,0.56,0.69,0.52,0.46,0.51,0.44,0.45,0.56,0.43,0.56,0.59,0.58,0.55,0.71,0.64,0.62,0.53,0.62,0.43,0.55,0.68,0.62,0.52,0.4,0.29,0.5,0.65,0.62,0.45,0.62,0.62,0.62,0.65,0.71,0.6,0.54,0.61,0.51,0.3,0.23,0.24,0.3,0.49,0.5,0.24,0.36,0.59,0.59,0.71,0.62,0.5,0.59,0.49,0.43,0.29,0.22,0.22,0.25,0.51,0.42,0.17,0.66,0.65,0.5,0.78,0.82,0.62,0.76,0.64,0.51,0.49,0.31,0.23,0.38,0.51,0.39,0.17,0.57,0.73,0.54,0.73,0.78,0.59,0.54,0.72,0.56,0.47,0.49,0.41,0.45,0.42,0.38,0.17,0.31,0.42,0.4,0.38,0.32,0.32,0.26,0.26,0.31,0.29,0.29,0.27,0.25,0.35,0.37,0.33,0.16,0.16,0.25,0.31,0.24,0.24,0.3,0.25,0.25,0.25,0.33,0.22,0.41,0.58,0.29,0.55,0.23,0.19,0.39,0.3,0.31,0.24,0.21,0.22,0.24,0.24,0.27,0.39,0.8,0.64,0.5,0.64,0.28,0.26,0.35,0.29,0.35,0.25,0.21,0.22,0.22,0.25,0.23,0.54,0.97,0.61,0.35,0.49,0.33,0.31,0.2,0.18,0.14,0.13,0.09,0.19,0.32,0.32,0.21,0.57,0.95,0.68,0.2,0.22,0.71,0.59,0.2,0.21,0.2,0.21,0.18,0.25,0.45,0.57,0.63,0.55,0.52,0.45,0.43,0.32,0.71,0.62,0.58,0.51,0.48,0.49,0.55,0.58,0.62,0.72,0.82,0.8,0.6,0.36,0.26,0.47,0.64,0.61,0.56,0.51,0.49,0.48,0.52,0.54,0.54,0.61,0.67,0.76,0.85,0.71,0.5,0.4
car,"Two rows of cars parked next to a boat.",0.76,0.78,0.78,0.55,0.76,0.89,0.96,0.96,0.98,0.89,0.68,0.53,0.26,0.2,0.38,0.74,0.78,0.84,0.6,0.95,0.94,0.98,1.0,0.99,0.84,0.62,0.39,0.2,0.31,0.65,0.92,0.92,0.86,0.62,0.94,1.0,0.97,1.0,0.95,0.74,0.47,0.24,0.27,0.61,0.91,0.97,0.92,0.91,0.59,0.77,1.0,0.98,0.97,0.86,0.58,0.31,0.26,0.57,0.9,1.0,0.96,0.93,0.8,0.51,0.75,0.95,0.95,0.93,0.86,0.38,0.25,0.49,0.85,1.0,0.98,0.77,0.52,0.39,0.27,0.21,0.96,1.0,0.8,0.46,0.56,0.65,0.78,1.0,0.79,0.53,0.44,0.33,0.27,0.26,0.28,0.21,0.89,0.7,0.44,0.56,0.83,1.0,0.9,0.58,0.4,0.25,0.25,0.22,0.15,0.14,0.25,0.21,0.56,0.51,0.71,0.47,0.46,0.49,0.41,0.13,0.22,0.32,0.31,0.29,0.35,0.33,0.11,0.14,0.82,0.9,0.65,0.21,0.21,0.35,0.24,0.3,0.46,0.22,0.39,0.33,0.34,0.19,0.03,0.05,0.52,0.35,0.26,0.39,0.35,0.41,0.07,0.36,0.53,0.09,0.05,0.0,0.19,0.12,0.05,0.0,0.15,0.38,0.32,0.3,0.22,0.11,0.13,0.34,0.25,0.11,0.06,0.41,0.48,0.18,0.1,0.39,0.18,0.16,0.04,0.06,0.36,0.15,0.51,0.17,0.07,0.33,0.32,0.49,0.32,0.0,0.11,0.41,0.22,0.09,0.17,0.16,0.42,0.49,0.4,0.35,0.47,0.1,0.2,0.14,0.11,0.18,0.33,0.29,0.15,0.05,0.14,0.19,0.28,0.37,0.21,0.33,0.22,0.05,0.09,0.14,0.1,0.11,0.09,0.09,0.0,0.05,0.15,0.2,0.18,0.16,0.16,0.1,0.03,0.11,0.12,0.04,0.07,0.02,0.01,0.0,0.04,0.13,0.16,0.13,0.11,0.11,0.06,0.04,0.05,0.04,0.02,0.02,0.02,0.02,0.03,0.02
car,"an old car in front of an old air plane",0.68,0.67,0.67,0.67,0.67,0.68,0.68,0.68,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.69,0.7,0.71,0.71,0.71,0.7,0.7,0.7,0.7,0.71,0.7,0.69,0.7,0.69,0.69,0.69,0.67,0.67,0.68,0.69,0.71,0.73,0.73,0.73,0.73,0.7,0.72,0.75,0.71,0.73,0.75,0.73,0.51,0.59,0.65,0.67,0.67,0.67,0.69,0.73,0.76,0.74,0.61,0.66,0.52,0.54,0.55,0.62,0.06,0.09,0.23,0.4,0.55,0.66,0.67,0.63,0.6,0.62,0.39,0.35,0.61,0.66,0.64,0.67,0.11,0.1,0.09,0.07,0.11,0.19,0.33,0.31,0.3,0.32,0.24,0.25,0.61,0.71,0.5,0.43,0.29,0.21,0.13,0.09,0.02,0.02,0.05,0.08,0.09,0.11,0.16,0.15,0.17,0.22,0.24,0.14,0.31,0.46,0.69,0.72,0.73,0.69,0.57,0.55,0.48,0.33,0.21,0.15,0.09,0.13,0.24,0.2,0.16,0.44,0.6,0.58,0.43,0.29,0.49,0.55,0.36,0.35,0.4,0.32,0.0,0.0,0.2,0.52,0.39,0.46,0.48,0.27,0.25,0.2,0.35,0.16,0.04,0.05,0.12,0.28,0.35,0.35,0.32,0.55,0.24,0.26,0.4,0.34,0.33,0.38,0.33,0.34,0.36,0.38,0.35,0.34,0.4,0.52,0.49,0.41,0.18,0.22,0.25,0.28,0.32,0.3,0.32,0.31,0.3,0.33,0.37,0.29,0.4,0.3,0.4,0.37,0.34,0.25,0.23,0.23,0.22,0.19,0.17,0.18,0.2,0.22,0.26,0.16,0.45,0.36,0.44,0.4,0.29,0.47,0.19,0.38,0.36,0.35,0.43,0.39,0.36,0.35,0.36,0.19,0.29,0.42,0.22,0.2,0.05,0.54,0.42,0.56,0.15,0.19,0.2,0.15,0.13,0.13,0.11,0.1,0.06,0.01,0.03,0.03,0.25,0.34,0.61,0.44,0.31,0.29,0.3,0.32,0.33,0.35,0.37,0.39,0.41,0.41,0.4,0.4
car,"Two men ride bikes next to the cars in the street.",0.62,0.72,0.62,0.78,0.63,0.76,0.68,0.66,0.77,0.6,0.6,0.78,0.81,0.76,0.61,0.67,0.64,0.75,0.61,0.75,0.62,0.7,0.67,0.62,0.69,0.61,0.6,0.77,0.81,0.76,0.62,0.66,0.63,0.74,0.6,0.7,0.6,0.7,0.67,0.64,0.77,0.61,0.6,0.76,0.81,0.76,0.63,0.67,0.56,0.74,0.61,0.78,0.62,0.71,0.69,0.63,0.76,0.61,0.59,0.75,0.81,0.78,0.62,0.65,0.43,0.48,0.51,0.62,0.59,0.67,0.66,0.58,0.75,0.6,0.58,0.76,0.82,0.67,0.61,0.64,0.31,0.37,0.4,0.68,0.67,0.75,0.76,0.69,0.8,0.71,0.69,0.72,0.72,0.65,0.65,0.68,0.32,0.35,0.6,0.57,0.53,0.49,0.42,0.45,0.35,0.33,0.38,0.26,0.42,0.71,0.46,0.34,0.36,0.39,0.58,0.4,0.15,0.24,0.33,0.38,0.31,0.27,0.4,0.39,0.47,0.68,0.48,0.33,0.36,0.38,0.4,0.6,0.35,0.4,0.51,0.5,0.45,0.45,0.49,0.43,0.23,0.34,0.35,0.32,0.45,0.44,0.38,0.47,0.5,0.44,0.51,0.73,0.74,0.71,0.73,0.54,0.27,0.18,0.24,0.25,0.4,0.36,0.42,0.35,0.38,0.49,0.43,0.47,0.54,0.68,0.78,0.55,0.34,0.31,0.34,0.24,0.21,0.2,0.21,0.2,0.29,0.38,0.24,0.22,0.36,0.31,0.37,0.3,0.45,0.58,0.57,0.55,0.11,0.1,0.18,0.22,0.16,0.22,0.16,0.14,0.11,0.11,0.24,0.32,0.36,0.55,0.59,0.62,0.24,0.21,0.23,0.25,0.22,0.23,0.21,0.15,0.22,0.24,0.25,0.45,0.55,0.67,0.71,0.7,0.56,0.57,0.51,0.42,0.45,0.46,0.49,0.53,0.58,0.61,0.61,0.65,0.7,0.71,0.7,0.71,0.64,0.65,0.67,0.69,0.71,0.71,0.71,0.75,0.75,0.74,0.76,0.75,0.76,0.78,0.77,0.76
car,"Rows of cars parked on the side of a city street going uphill.",1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.78,0.45,0.42,0.48,0.46,0.3,0.29,0.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.52,0.45,0.47,0.42,0.35,0.41,0.35,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.63,0.38,0.44,0.48,0.29,0.42,0.5,0.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.6,0.36,0.43,0.53,0.37,0.41,0.46,0.44,0.9,1.0,0.95,1.0,1.0,1.0,0.99,0.71,0.5,0.49,0.45,0.56,0.41,0.42,0.47,0.4,0.87,0.82,0.6,0.94,1.0,1.0,1.0,0.68,0.57,0.51,0.43,0.53,0.38,0.52,0.43,0.34,0.51,0.69,0.49,0.8,1.0,0.99,0.98,0.82,0.49,0.35,0.32,0.55,0.41,0.52,0.46,0.36,0.33,0.55,0.49,0.64,0.91,1.0,1.0,0.51,0.26,0.32,0.33,0.42,0.45,0.48,0.43,0.32,0.24,0.26,0.4,0.64,0.9,0.94,0.58,0.3,0.33,0.37,0.3,0.39,0.44,0.2,0.12,0.18,0.24,0.15,0.38,0.67,0.58,0.31,0.2,0.23,0.24,0.26,0.22,0.23,0.38,0.24,0.21,0.2,0.17,0.17,0.21,0.22,0.27,0.11,0.09,0.17,0.2,0.2,0.2,0.13,0.24,0.2,0.14,0.19,0.19,0.22,0.26,0.35,0.46,0.41,0.34,0.38,0.3,0.38,0.27,0.22,0.24,0.22,0.17,0.2,0.44,0.48,0.6,0.61,0.6,0.48,0.46,0.23,0.33,0.6,0.29,0.18,0.16,0.19,0.14,0.2,0.45,0.57,0.61,0.6,0.44,0.18,0.29,0.54,0.62,0.59,0.34,0.17,0.17,0.2,0.23,0.22,0.24,0.25,0.4,0.34,0.27,0.15,0.21,0.55,0.62,0.61,0.58,0.53,0.45,0.32,0.16,0.2,0.15,0.11,0.16,0.15,0.19,0.15,0.33,0.58,0.6,0.64,0.45,0.25,0.27,0.24,0.18,0.2
