label,caption,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63
bee,"wasp comb nest",0.11,0.25,0.14,0.23,0.27,0.16,0.04,0.04,0.28,0.23,0.23,0.65,0.33,0.07,0.51,0.08,0.06,0.05,0.62,0.76,0.78,0.12,0.30,0.04,0.06,0.29,0.86,0.83,0.83,0.60,0.14,0.23,0.05,0.51,0.80,0.79,0.77,0.82,0.18,0.17,0.18,0.26,0.81,0.59,0.59,0.54,0.03,0.05,0.34,0.07,0.75,0.72,0.74,0.23,0.06,0.04,0.06,0.05,0.06,0.50,0.22,0.04,0.04,0.04
bee,"paper wasp on nest",0.06,0.13,0.15,0.06,0.05,0.07,0.08,0.05,0.07,0.07,0.29,0.27,0.56,0.73,0.21,0.05,0.07,0.06,0.23,0.77,0.73,0.54,0.12,0.05,0.06,0.12,0.75,0.66,0.38,0.40,0.53,0.05,0.06,0.48,0.61,0.59,0.33,0.47,0.03,0.06,0.07,0.59,0.36,0.42,0.60,0.10,0.06,0.05,0.05,0.21,0.17,0.25,0.21,0.06,0.05,0.05,0.05,0.05,0.10,0.11,0.07,0.05,0.05,0.05
bee,"wasp nest hanging",0.14,0.14,0.12,0.07,0.08,0.19,0.12,0.07,0.14,0.26,0.26,0.24,0.25,0.14,0.32,0.21,0.08,0.05,0.23,0.62,0.62,0.25,0.21,0.30,0.07,0.14,0.81,0.85,0.86,0.86,0.14,0.07,0.08,0.32,0.86,0.85,0.87,0.80,0.27,0.08,0.08,0.24,0.76,0.77,0.42,0.66,0.18,0.07,0.07,0.06,0.48,0.66,0.37,0.55,0.07,0.08,0.07,0.07,0.06,0.25,0.32,0.07,0.07,0.08
bee,"wasp nest home",0.08,0.05,0.08,0.13,0.14,0.09,0.08,0.08,0.09,0.63,0.33,0.09,0.15,0.24,0.44,0.07,0.09,0.22,0.28,0.62,0.70,0.35,0.24,0.08,0.07,0.14,0.71,0.75,0.75,0.69,0.14,0.07,0.06,0.42,0.74,0.75,0.75,0.72,0.39,0.07,0.07,0.47,0.70,0.30,0.31,0.70,0.46,0.06,0.08,0.12,0.60,0.36,0.39,0.59,0.12,0.07,0.08,0.07,0.09,0.20,0.23,0.08,0.07,0.07
bee,"empty wasp nest",0.07,0.15,0.08,0.14,0.14,0.24,0.18,0.07,0.14,0.27,0.17,0.40,0.23,0.06,0.06,0.06,0.12,0.07,0.50,0.67,0.58,0.42,0.06,0.07,0.07,0.35,0.65,0.63,0.57,0.65,0.23,0.07,0.04,0.57,0.76,0.58,0.62,0.59,0.46,0.06,0.07,0.35,0.74,0.30,0.32,0.63,0.26,0.07,0.06,0.07,0.49,0.47,0.48,0.46,0.06,0.07,0.07,0.07,0.07,0.21,0.20,0.07,0.07,0.06
bee,"wasp nest gray",0.07,0.12,0.23,0.14,0.15,0.19,0.07,0.07,0.07,0.06,0.12,0.44,0.35,0.15,0.10,0.06,0.06,0.07,0.50,0.50,0.54,0.33,0.06,0.06,0.07,0.29,0.56,0.61,0.56,0.54,0.12,0.07,0.07,0.42,0.54,0.59,0.56,0.54,0.21,0.07,0.07,0.19,0.56,0.31,0.53,0.55,0.07,0.06,0.07,0.06,0.43,0.26,0.49,0.22,0.06,0.06,0.07,0.08,0.10,0.28,0.20,0.07,0.07,0.07
bee,"empty wasp nest",0.14,0.18,0.18,0.17,0.21,0.28,0.43,0.20,0.15,0.18,0.15,0.47,0.29,0.17,0.59,0.14,0.07,0.07,0.55,0.82,0.81,0.36,0.14,0.14,0.08,0.32,0.82,0.88,0.86,0.70,0.06,0.08,0.06,0.63,0.84,0.41,0.60,0.88,0.23,0.08,0.07,0.41,0.89,0.35,0.59,0.78,0.08,0.07,0.07,0.07,0.63,0.78,0.80,0.26,0.07,0.07,0.07,0.08,0.09,0.29,0.24,0.06,0.07,0.07
bee,"empty wasp nest",0.08,0.15,0.26,0.21,0.15,0.15,0.36,0.12,0.25,0.19,0.08,0.24,0.24,0.09,0.30,0.28,0.09,0.08,0.36,0.43,0.44,0.33,0.07,0.07,0.08,0.21,0.44,0.45,0.45,0.45,0.25,0.08,0.07,0.36,0.35,0.45,0.45,0.41,0.34,0.07,0.07,0.29,0.11,0.19,0.40,0.44,0.27,0.08,0.08,0.12,0.32,0.35,0.47,0.37,0.09,0.08,0.08,0.07,0.09,0.19,0.18,0.07,0.08,0.07
bee,"honeycomb bee",0.07,0.05,0.22,0.13,0.07,0.11,0.06,0.07,0.14,0.58,0.77,0.73,0.23,0.10,0.22,0.09,0.13,0.64,0.74,0.75,0.14,0.15,0.08,0.07,0.07,0.14,0.39,0.31,0.48,0.54,0.21,0.07,0.06,0.43,0.37,0.41,0.28,0.33,0.20,0.12,0.06,0.38,0.31,0.36,0.08,0.06,0.39,0.12,0.12,0.14,0.22,0.10,0.32,0.35,0.14,0.29,0.07,0.07,0.07,0.06,0.38,0.43,0.34,0.37
bee,"bee with pollen on legs",0.24,0.15,0.05,0.05,0.05,0.06,0.05,0.05,0.13,0.07,0.54,0.25,0.57,0.32,0.08,0.32,0.18,0.35,0.41,0.64,0.77,0.13,0.06,0.07,0.12,0.88,0.70,0.52,0.55,0.27,0.14,0.06,0.07,0.63,0.45,0.54,0.47,0.26,0.36,0.07,0.06,0.16,0.16,0.17,0.38,0.21,0.25,0.06,0.23,0.15,0.06,0.06,0.21,0.37,0.41,0.06,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.06
bee,"honeycomb bee keeper",0.06,0.07,0.28,0.26,0.07,0.06,0.15,0.06,0.21,0.34,0.23,0.29,0.28,0.09,0.57,0.36,0.35,0.29,0.31,0.59,0.76,0.39,0.17,0.07,0.11,0.44,0.38,0.68,0.70,0.60,0.26,0.07,0.07,0.18,0.24,0.84,0.79,0.72,0.08,0.07,0.06,0.41,0.25,0.60,0.61,0.45,0.34,0.08,0.08,0.15,0.15,0.38,0.26,0.35,0.27,0.07,0.07,0.10,0.14,0.24,0.07,0.28,0.08,0.07
bee,"pollination path bee",0.06,0.46,0.23,0.12,0.07,0.07,0.07,0.07,0.15,0.48,0.65,0.24,0.07,0.06,0.07,0.07,0.08,0.76,0.59,0.82,0.10,0.06,0.05,0.07,0.07,0.07,0.09,0.14,0.24,0.26,0.30,0.12,0.08,0.09,0.29,0.15,0.32,0.21,0.21,0.18,0.06,0.24,0.10,0.09,0.10,0.27,0.28,0.08,0.07,0.24,0.10,0.11,0.08,0.79,0.69,0.24,0.07,0.07,0.23,0.29,0.13,0.48,0.54,0.16
bee,"pollination path bee",0.07,0.07,0.07,0.37,0.46,0.17,0.10,0.07,0.07,0.06,0.07,0.36,0.93,0.31,0.36,0.06,0.15,0.27,0.16,0.08,0.31,0.45,0.67,0.37,0.31,0.08,0.30,0.15,0.16,0.38,0.37,0.38,0.39,0.11,0.12,0.15,0.32,0.25,0.05,0.06,0.07,0.26,0.28,0.12,0.05,0.17,0.29,0.07,0.12,0.26,0.28,0.19,0.07,0.06,0.38,0.08,0.09,0.15,0.15,0.07,0.07,0.18,0.16,0.07
bee,"pollen bee dog",0.06,0.24,0.05,0.13,0.06,0.21,0.06,0.06,0.06,0.24,0.29,0.32,0.35,0.19,0.24,0.06,0.05,0.46,0.84,0.67,0.87,0.43,0.36,0.04,0.15,0.68,0.72,0.62,0.35,0.97,0.66,0.04,0.15,0.78,0.92,0.59,0.32,0.73,0.49,0.06,0.08,0.16,0.53,0.58,0.85,0.63,0.74,0.14,0.14,0.39,0.67,0.84,0.41,0.49,0.64,0.11,0.06,0.07,0.14,0.24,0.05,0.24,0.14,0.07
bee,"bee on honeycomb",0.35,0.36,0.48,0.37,0.42,0.30,0.48,0.36,0.31,0.26,0.47,0.28,0.52,0.32,0.59,0.32,0.39,0.87,0.53,0.20,0.29,0.70,0.36,0.71,0.40,0.83,0.83,0.33,0.27,0.62,0.34,0.67,0.29,0.43,0.53,0.73,0.94,0.57,0.65,0.32,0.29,0.35,0.55,0.40,0.80,0.42,0.60,0.31,0.31,0.23,0.38,0.48,0.40,0.47,0.35,0.65,0.30,0.28,0.49,0.48,0.43,0.48,0.36,0.61
bee,"pollen bee",0.08,0.15,0.17,0.08,0.08,0.32,0.09,0.14,0.08,0.87,0.73,0.07,0.65,0.99,0.33,0.15,0.08,0.26,0.65,0.50,0.94,0.64,0.69,0.10,0.10,0.61,0.79,0.34,0.52,0.62,0.57,0.07,0.31,0.69,0.16,0.83,0.29,0.64,0.08,0.07,0.15,0.67,0.70,0.57,0.53,0.38,0.13,0.08,0.09,0.08,0.30,0.09,0.52,0.09,0.32,0.25,0.08,0.08,0.09,0.07,0.09,0.12,0.19,0.07
bee,"bee with full pollen baskets",0.04,0.24,0.06,0.06,0.25,0.04,0.07,0.05,0.36,0.16,0.25,0.34,0.06,0.57,0.95,0.47,0.44,0.70,0.31,0.37,0.37,0.98,0.86,0.14,0.06,0.49,0.29,0.46,0.41,0.65,0.32,0.06,0.21,0.64,0.55,0.59,0.68,0.61,0.74,0.14,0.29,0.83,0.60,0.35,0.42,0.79,0.82,0.22,0.14,0.59,0.14,0.21,0.15,0.37,0.51,0.06,0.06,0.04,0.06,0.08,0.05,0.07,0.05,0.06
bee,"honeycomb bee spirit",0.04,0.23,0.21,0.21,0.60,0.29,0.23,0.12,0.24,0.47,0.64,0.85,0.83,0.62,0.40,0.59,0.12,0.54,0.65,0.88,0.84,0.97,0.21,0.57,0.55,0.50,0.85,0.65,0.44,0.97,0.52,0.51,0.49,0.20,0.87,0.96,0.97,0.97,0.57,0.57,0.22,0.73,0.52,0.87,0.73,0.95,0.76,0.27,0.30,0.32,0.32,0.54,0.59,0.31,0.33,0.04,0.04,0.42,0.45,0.48,0.60,0.13,0.04,0.04
bee,"bee with flower",0.07,0.22,0.21,0.08,0.07,0.08,0.07,0.07,0.23,0.80,0.71,0.22,0.17,0.14,0.13,0.07,0.05,0.38,0.64,0.67,0.17,0.13,0.08,0.06,0.21,0.51,0.33,0.45,0.43,0.45,0.23,0.07,0.08,0.09,0.14,0.50,0.71,0.69,0.59,0.07,0.07,0.08,0.06,0.42,0.65,0.59,0.44,0.06,0.07,0.07,0.07,0.13,0.18,0.28,0.42,0.16,0.07,0.07,0.07,0.07,0.07,0.33,0.16,0.06
bee,"bee with pollen baskets",0.08,0.08,0.06,0.08,0.07,0.07,0.09,0.07,0.34,0.95,0.38,0.26,0.21,0.38,0.95,0.34,0.15,0.82,0.77,0.51,0.52,0.80,0.85,0.14,0.08,0.08,0.34,0.37,0.44,0.37,0.08,0.07,0.07,0.14,0.11,0.49,0.53,0.18,0.13,0.07,0.07,0.54,0.39,0.45,0.46,0.38,0.55,0.08,0.07,0.41,0.26,0.06,0.06,0.29,0.42,0.07,0.07,0.07,0.07,0.07,0.06,0.08,0.07,0.07
bee,"bee with pollen baskets",0.04,0.06,0.11,0.12,0.12,0.15,0.06,0.05,0.26,0.86,0.12,0.56,0.55,0.12,0.86,0.23,0.14,0.85,0.84,0.46,0.46,0.84,0.85,0.14,0.07,0.08,0.37,0.10,0.10,0.33,0.08,0.06,0.05,0.41,0.17,0.60,0.54,0.17,0.36,0.05,0.21,0.62,0.26,0.55,0.49,0.24,0.57,0.12,0.06,0.19,0.19,0.28,0.26,0.10,0.18,0.05,0.07,0.07,0.06,0.26,0.26,0.07,0.05,0.06
bee,"honeycomb bee larva",0.05,0.05,0.35,0.65,0.55,0.04,0.04,0.06,0.07,0.09,0.70,0.07,0.17,0.66,0.42,0.34,0.54,0.32,0.54,0.30,0.62,0.14,0.03,0.47,0.42,0.04,0.41,0.71,0.53,0.55,0.16,0.58,0.55,0.63,0.65,0.64,0.97,0.65,0.46,0.43,0.55,0.07,0.34,0.66,0.95,0.95,0.06,0.49,0.57,0.08,0.29,0.53,0.92,0.65,0.43,0.55,0.15,0.64,0.53,0.46,0.42,0.54,0.09,0.06
bee,"bee collecting pollen",0.05,0.15,0.67,0.14,0.04,0.04,0.14,0.08,0.05,0.32,0.84,0.81,0.32,0.05,0.12,0.20,0.05,0.98,0.89,0.58,0.19,0.67,0.28,0.05,0.04,0.24,0.46,0.40,0.53,0.91,0.65,0.37,0.05,0.55,0.51,0.32,0.79,0.84,0.93,0.36,0.07,0.86,0.87,0.67,0.67,0.77,0.49,0.03,0.04,0.05,0.48,0.99,0.61,0.93,0.35,0.05,0.05,0.04,0.12,0.32,0.35,0.41,0.23,0.05
bee,"identity pollen grain simple cell",0.08,0.13,0.07,0.19,0.17,0.06,0.14,0.12,0.12,0.28,0.53,0.69,0.67,0.48,0.23,0.12,0.07,0.31,0.65,0.55,0.51,0.68,0.39,0.07,0.05,0.52,0.63,0.22,0.21,0.58,0.64,0.08,0.06,0.57,0.62,0.22,0.22,0.65,0.49,0.05,0.07,0.30,0.71,0.57,0.64,0.69,0.21,0.07,0.07,0.18,0.41,0.60,0.63,0.28,0.40,0.06,0.07,0.19,0.06,0.06,0.07,0.07,0.19,0.07
bee,"pollen grain cluster",0.07,0.07,0.14,0.29,0.07,0.07,0.07,0.07,0.08,0.05,0.60,0.84,0.49,0.19,0.45,0.08,0.07,0.14,0.34,0.62,0.22,0.59,0.15,0.06,0.08,0.14,0.38,0.27,0.56,0.90,0.61,0.06,0.08,0.76,0.87,0.29,0.14,0.30,0.16,0.07,0.06,0.34,0.59,0.22,0.61,0.17,0.15,0.08,0.16,0.30,0.04,0.52,0.89,0.51,0.07,0.08,0.07,0.06,0.08,0.08,0.28,0.07,0.08,0.08
bee,"pollen collection tower",0.08,0.14,0.17,0.57,0.62,0.17,0.08,0.08,0.07,0.07,0.32,0.56,0.57,0.39,0.08,0.22,0.06,0.17,0.36,0.92,0.92,0.34,0.08,0.10,0.29,0.07,0.34,0.91,0.84,0.32,0.29,0.05,0.06,0.17,0.34,0.89,0.87,0.33,0.08,0.08,0.07,0.07,0.32,0.89,0.88,0.33,0.09,0.15,0.17,0.07,0.54,0.88,0.89,0.70,0.09,0.14,0.08,0.23,0.34,0.28,0.34,0.28,0.28,0.10
bee,"pollen grain clump on anther",0.07,0.06,0.06,0.23,0.21,0.06,0.07,0.07,0.08,0.32,0.30,0.66,0.77,0.15,0.16,0.12,0.08,0.05,0.42,0.63,0.55,0.39,0.08,0.07,0.11,0.06,0.58,0.70,0.79,0.24,0.13,0.14,0.07,0.07,0.31,0.66,0.54,0.13,0.09,0.14,0.07,0.12,0.26,0.27,0.27,0.12,0.13,0.07,0.07,0.11,0.17,0.28,0.33,0.07,0.12,0.07,0.07,0.07,0.08,0.41,0.27,0.05,0.07,0.07
bee,"pollen grain morphology chart",0.05,0.06,0.17,0.12,0.05,0.06,0.36,0.15,0.09,0.41,0.36,0.38,0.34,0.13,0.38,0.14,0.21,0.35,0.31,0.41,0.38,0.30,0.86,0.20,0.13,0.41,0.34,0.37,0.32,0.05,0.17,0.05,0.04,0.21,0.32,0.33,0.13,0.17,0.11,0.05,0.08,0.33,0.10,0.04,0.16,0.40,0.41,0.08,0.16,0.38,0.25,0.38,0.12,0.33,0.28,0.05,0.04,0.06,0.08,0.18,0.06,0.09,0.06,0.05
bee,"curious pollen grain",0.07,0.07,0.07,0.08,0.08,0.09,0.53,0.17,0.05,0.27,0.15,0.26,0.30,0.06,0.39,0.17,0.07,0.29,0.78,0.89,0.87,0.55,0.23,0.23,0.14,0.85,0.73,0.86,0.87,0.89,0.42,0.10,0.32,0.89,0.72,0.68,0.90,0.55,0.65,0.05,0.25,0.91,0.71,0.71,0.70,0.65,0.54,0.06,0.07,0.52,0.88,0.87,0.73,0.89,0.26,0.15,0.08,0.07,0.24,0.44,0.30,0.15,0.07,0.14
bee,"beehive comb honey cell",0.07,0.14,0.61,0.33,0.50,0.51,0.07,0.07,0.05,0.59,0.31,0.73,0.46,0.58,0.32,0.07,0.33,0.69,0.67,0.60,0.68,0.68,0.71,0.24,0.62,0.36,0.66,0.33,0.47,0.65,0.44,0.28,0.14,0.75,0.34,0.73,0.47,0.52,0.58,0.07,0.07,0.33,0.48,0.62,0.55,0.64,0.24,0.08,0.07,0.06,0.35,0.15,0.17,0.26,0.06,0.07,0.07,0.08,0.14,0.08,0.14,0.14,0.07,0.08
bee,"beehive comb honey cell",0.24,0.51,0.50,0.33,0.39,0.47,0.47,0.43,0.61,0.37,0.31,0.57,0.50,0.43,0.24,0.33,0.43,0.52,0.53,0.43,0.27,0.60,0.40,0.45,0.43,0.48,0.49,0.44,0.28,0.56,0.49,0.55,0.60,0.30,0.25,0.56,0.47,0.50,0.34,0.52,0.27,0.56,0.55,0.26,0.23,0.62,0.48,0.47,0.65,0.35,0.32,0.60,0.52,0.50,0.34,0.50,0.32,0.53,0.51,0.40,0.32,0.61,0.44,0.52
bee,"nectar bee keeper comb",0.26,0.27,0.25,0.25,0.25,0.25,0.27,0.27,0.24,0.15,0.04,0.02,0.32,0.32,0.16,0.25,0.17,0.24,0.34,0.42,0.15,0.14,0.21,0.17,0.15,0.37,0.04,0.47,0.16,0.16,0.23,0.18,0.16,0.40,0.54,0.16,0.47,0.42,0.33,0.16,0.27,0.39,0.22,0.32,0.40,0.35,0.35,0.10,0.26,0.09,0.04,0.45,0.03,0.69,0.40,0.35,0.04,0.43,0.42,0.13,0.04,0.06,0.06,0.04
bee,"honey comb",0.04,0.52,0.43,0.31,0.03,0.51,0.43,0.32,0.34,0.32,0.02,0.52,0.43,0.32,0.02,0.53,0.03,0.65,0.65,0.42,0.04,0.64,0.65,0.41,0.26,0.41,0.08,0.56,0.33,0.42,0.08,0.56,0.09,0.46,0.31,0.36,0.11,0.46,0.32,0.37,0.29,0.36,0.11,0.36,0.33,0.37,0.11,0.28,0.10,0.45,0.32,0.35,0.11,0.35,0.07,0.07,0.24,0.27,0.10,0.39,0.05,0.17,0.08,0.07
bee,"honey comb",0.06,0.07,0.15,0.46,0.32,0.07,0.07,0.07,0.06,0.09,0.39,0.08,0.47,0.30,0.13,0.07,0.34,0.39,0.53,0.66,0.66,0.17,0.45,0.06,0.33,0.16,0.51,0.17,0.68,0.57,0.54,0.06,0.32,0.40,0.51,0.31,0.53,0.08,0.16,0.41,0.46,0.16,0.40,0.43,0.40,0.27,0.20,0.40,0.07,0.54,0.60,0.07,0.34,0.38,0.30,0.08,0.07,0.05,0.14,0.47,0.33,0.07,0.07,0.07
bee,"beehive comb",0.23,0.23,0.35,0.29,0.22,0.22,0.23,0.23,0.24,0.29,0.62,0.50,0.56,0.52,0.28,0.23,0.22,0.52,0.41,0.49,0.23,0.50,0.56,0.23,0.24,0.48,0.39,0.42,0.58,0.49,0.50,0.23,0.24,0.61,0.57,0.54,0.59,0.46,0.40,0.24,0.24,0.40,0.46,0.49,0.31,0.54,0.23,0.23,0.23,0.23,0.34,0.36,0.35,0.29,0.42,0.23,0.24,0.23,0.24,0.23,0.23,0.31,0.23,0.23
potion,"Copper mule mug",0.06,0.05,0.04,0.03,0.04,0.05,0.04,0.05,0.10,0.28,0.23,0.24,0.24,0.16,0.33,0.09,0.07,0.41,0.28,0.29,0.35,0.38,0.20,0.30,0.06,0.44,0.48,0.48,0.44,0.14,0.05,0.30,0.16,0.44,0.68,0.69,0.44,0.16,0.29,0.17,0.16,0.46,0.47,0.54,0.41,0.27,0.21,0.05,0.08,0.40,0.42,0.42,0.37,0.25,0.14,0.06,0.06,0.12,0.16,0.17,0.12,0.05,0.05,0.05
potion,"lead capsule",0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.23,0.58,0.63,0.07,0.07,0.07,0.06,0.23,0.56,0.72,0.40,0.07,0.07,0.07,0.22,0.57,0.74,0.49,0.20,0.07,0.08,0.22,0.64,0.74,0.38,0.20,0.06,0.08,0.06,0.50,0.52,0.33,0.18,0.06,0.07,0.07,0.07,0.58,0.39,0.17,0.07,0.07,0.07,0.07,0.07,0.10,0.08,0.07,0.07,0.07,0.07,0.07
potion,"Cosmic cider",0.08,0.07,0.07,0.48,0.44,0.06,0.06,0.07,0.07,0.07,0.05,0.57,0.56,0.05,0.37,0.07,0.09,0.24,0.05,0.57,0.67,0.09,0.09,0.08,0.08,0.09,0.34,0.72,0.66,0.37,0.08,0.07,0.08,0.10,0.70,0.54,0.53,0.76,0.09,0.08,0.07,0.10,0.60,0.72,0.78,0.55,0.10,0.11,0.08,0.10,0.68,0.69,0.54,0.67,0.10,0.07,0.07,0.08,0.33,0.32,0.33,0.23,0.07,0.08
potion,"Cosmic cider",0.07,0.06,0.14,0.17,0.25,0.10,0.06,0.07,0.08,0.18,0.19,0.23,0.23,0.09,0.17,0.08,0.06,0.06,0.24,0.51,0.43,0.28,0.12,0.07,0.17,0.09,0.86,0.80,0.74,0.54,0.22,0.06,0.08,0.19,0.81,0.73,0.75,0.40,0.57,0.07,0.06,0.07,0.80,0.67,0.70,0.34,0.52,0.10,0.07,0.08,0.67,0.64,0.70,0.38,0.27,0.07,0.07,0.07,0.32,0.59,0.50,0.07,0.08,0.07
potion,"copper colander",0.07,0.08,0.06,0.06,0.06,0.07,0.08,0.08,0.07,0.14,0.45,0.50,0.50,0.44,0.14,0.07,0.34,0.34,0.16,0.13,0.12,0.23,0.34,0.24,0.26,0.55,0.48,0.48,0.47,0.47,0.56,0.24,0.07,0.53,0.57,0.58,0.57,0.58,0.54,0.08,0.07,0.12,0.54,0.59,0.57,0.53,0.12,0.08,0.07,0.07,0.32,0.23,0.22,0.36,0.08,0.08,0.07,0.08,0.06,0.08,0.08,0.07,0.07,0.07
